tedarikci;urun_adi;url;fiyat;gorsel_dosyalari
mexxsun;deye-15kw-trifaze-sun-15k-g06p3-eu-bm2-p1;https://www.mexxsun.com/tr/urun/deye-15kw-trifaze-sun-15k-g06p3-eu-bm2-p1;47,10;public/images/products/mexxsun/deye-15kw-trifaze-sun-15k-g06p3-eu-bm2-p1.jpg|public/images/products/mexxsun/deye-15kw-trifaze-sun-15k-g06p3-eu-bm2-p1-2.jpg|public/images/products/mexxsun/deye-15kw-trifaze-sun-15k-g06p3-eu-bm2-p1-3.jpg|public/images/products/mexxsun/deye-15kw-trifaze-sun-15k-g06p3-eu-bm2-p1-4.jpg|public/images/products/mexxsun/deye-15kw-trifaze-sun-15k-g06p3-eu-bm2-p1-5.jpg|public/images/products/mexxsun/deye-15kw-trifaze-sun-15k-g06p3-eu-bm2-p1-6.jpg
mexxsun;deye-20kw-trifaze;https://www.mexxsun.com/tr/urun/deye-20kw-trifaze;47,10;public/images/products/mexxsun/deye-20kw-trifaze.jpg|public/images/products/mexxsun/deye-20kw-trifaze-2.jpg|public/images/products/mexxsun/deye-20kw-trifaze-3.jpg|public/images/products/mexxsun/deye-20kw-trifaze-4.jpg|public/images/products/mexxsun/deye-20kw-trifaze-5.jpg|public/images/products/mexxsun/deye-20kw-trifaze-6.jpg
mexxsun;deye-25kw-trifaze;https://www.mexxsun.com/tr/urun/deye-25kw-trifaze;47,10;public/images/products/mexxsun/deye-25kw-trifaze.jpg|public/images/products/mexxsun/deye-25kw-trifaze-2.jpg|public/images/products/mexxsun/deye-25kw-trifaze-3.jpg|public/images/products/mexxsun/deye-25kw-trifaze-4.jpg
mexxsun;deye-33kw-trifaze11;https://www.mexxsun.com/tr/urun/deye-33kw-trifaze11;47,10;public/images/products/mexxsun/deye-33kw-trifaze11.jpg|public/images/products/mexxsun/deye-33kw-trifaze11-2.jpg|public/images/products/mexxsun/deye-33kw-trifaze11-3.jpg|public/images/products/mexxsun/deye-33kw-trifaze11-4.jpg
mexxsun;deye-50kw-trifazeg04;https://www.mexxsun.com/tr/urun/deye-50kw-trifazeg04;47,10;public/images/products/mexxsun/deye-50kw-trifazeg04.jpg|public/images/products/mexxsun/deye-50kw-trifazeg04-2.jpg|public/images/products/mexxsun/deye-50kw-trifazeg04-3.jpg|public/images/products/mexxsun/deye-50kw-trifazeg04-4.jpg
mexxsun;deye-100kw-trifaze-sun-100k-g;https://www.mexxsun.com/tr/urun/deye-100kw-trifaze-sun-100k-g;47,10;public/images/products/mexxsun/deye-100kw-trifaze-sun-100k-g.jpg|public/images/products/mexxsun/deye-100kw-trifaze-sun-100k-g-2.jpg|public/images/products/mexxsun/deye-100kw-trifaze-sun-100k-g-3.jpg|public/images/products/mexxsun/deye-100kw-trifaze-sun-100k-g-4.jpg|public/images/products/mexxsun/deye-100kw-trifaze-sun-100k-g-5.jpg|public/images/products/mexxsun/deye-100kw-trifaze-sun-100k-g-6.jpg
mexxsun;mexxsun-12-kw-hibrit-monofaze-lv-48v;https://www.mexxsun.com/tr/urun/mexxsun-12-kw-hibrit-monofaze-lv-48v;47,10;public/images/products/mexxsun/mexxsun-12-kw-hibrit-monofaze-lv-48v.jpg|public/images/products/mexxsun/mexxsun-12-kw-hibrit-monofaze-lv-48v-2.jpg|public/images/products/mexxsun/mexxsun-12-kw-hibrit-monofaze-lv-48v-3.jpg|public/images/products/mexxsun/mexxsun-12-kw-hibrit-monofaze-lv-48v-4.jpg|public/images/products/mexxsun/mexxsun-12-kw-hibrit-monofaze-lv-48v-5.jpg
mexxsun;mexxsun-15-kw-hibrit-trifaze-lv-48v;https://www.mexxsun.com/tr/urun/mexxsun-15-kw-hibrit-trifaze-lv-48v;47,10;public/images/products/mexxsun/mexxsun-15-kw-hibrit-trifaze-lv-48v.jpg|public/images/products/mexxsun/mexxsun-15-kw-hibrit-trifaze-lv-48v-2.jpg|public/images/products/mexxsun/mexxsun-15-kw-hibrit-trifaze-lv-48v-3.jpg|public/images/products/mexxsun/mexxsun-15-kw-hibrit-trifaze-lv-48v-4.jpg|public/images/products/mexxsun/mexxsun-15-kw-hibrit-trifaze-lv-48v-5.jpg
mexxsun;deye-5-kw-hibrit-monofaze-lv-48v;https://www.mexxsun.com/tr/urun/deye-5-kw-hibrit-monofaze-lv-48v;47,10;public/images/products/mexxsun/deye-5-kw-hibrit-monofaze-lv-48v.jpg|public/images/products/mexxsun/deye-5-kw-hibrit-monofaze-lv-48v-2.jpg|public/images/products/mexxsun/deye-5-kw-hibrit-monofaze-lv-48v-3.jpg|public/images/products/mexxsun/deye-5-kw-hibrit-monofaze-lv-48v-4.jpg
mexxsun;deye-8-kw-hibrit-monofaze-lv-48v-p;https://www.mexxsun.com/tr/urun/deye-8-kw-hibrit-monofaze-lv-48v-p;47,10;public/images/products/mexxsun/deye-8-kw-hibrit-monofaze-lv-48v-p.jpg|public/images/products/mexxsun/deye-8-kw-hibrit-monofaze-lv-48v-p-2.jpg|public/images/products/mexxsun/deye-8-kw-hibrit-monofaze-lv-48v-p-3.jpg|public/images/products/mexxsun/deye-8-kw-hibrit-monofaze-lv-48v-p-4.jpg
